Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
2017-2,392.00,82.20,ADMITIDO
2017-2,387.00,80.35,ADMITIDO
2017-2,388.00,78.80,ADMITIDO
2017-2,395.00,78.50,ADMITIDO
2017-2,385.00,78.30,ADMITIDO
2017-2,388.00,77.65,ADMITIDO
2017-2,384.00,77.10,ADMITIDO
2017-2,387.00,76.55,ADMITIDO
2017-2,363.00,75.40,ADMITIDO
2017-2,385.00,75.25,ADMITIDO
2017-2,366.00,74.40,ADMITIDO
2017-2,378.00,74.20,ADMITIDO
2017-2,369.00,74.15,ADMITIDO
2017-2,371.00,73.80,ADMITIDO
2017-2,354.00,73.70,ADMITIDO
2017-2,373.00,73.55,ADMITIDO
2017-2,362.00,73.25,ADMITIDO
2017-2,355.00,73.00,ADMITIDO
2017-2,355.00,73.00,ADMITIDO
2017-2,355.00,72.80,ADMITIDO
2017-2,353.00,72.45,ADMITIDO
2017-2,363.00,72.40,ADMITIDO
2017-2,366.00,72.40,ADMITIDO
2017-2,357.00,72.30,ADMITIDO
2017-2,359.00,72.30,ADMITIDO
2017-2,357.00,72.20,ADMITIDO
2017-2,355.00,72.15,ADMITIDO
2017-2,354.00,72.15,ADMITIDO
2017-2,364.00,72.10,ADMITIDO
2017-2,348.00,72.00,ADMITIDO
2017-2,357.00,72.00,ADMITIDO
2017-2,354.00,71.95,ADMITIDO
2017-2,362.00,71.90,ADMITIDO
2017-2,345.00,71.80,ADMITIDO
2017-2,354.00,71.70,ADMITIDO
2017-2,351.00,71.65,ADMITIDO
2017-2,355.00,71.65,ADMITIDO
2017-2,357.00,71.65,ADMITIDO
2017-2,351.00,71.55,ADMITIDO
2017-2,362.00,71.50,ADMITIDO
2017-2,357.00,71.45,ADMITIDO
2017-2,335.00,71.25,ADMITIDO
2017-2,348.00,71.10,ADMITIDO
2017-2,369.00,71.05,ADMITIDO
2017-2,339.00,71.00,ADMITIDO
2017-2,345.00,70.95,ADMITIDO
2017-2,355.00,70.80,ADMITIDO
2017-2,351.00,70.75,ADMITIDO
2017-2,347.00,70.55,INHABILITADO
2017-2,343.00,70.50,ADMITIDO
2017-2,353.00,70.45,ADMITIDO
2017-2,345.00,70.45,ADMITIDO
2017-2,348.00,70.35,ADMITIDO
2017-2,348.00,70.20,ADMITIDO
2017-2,342.00,70.15,ADMITIDO
2017-2,350.00,70.10,ADMITIDO
2017-2,333.00,70.05,ADMITIDO
2017-2,349.00,70.00,ADMITIDO
2017-2,355.00,69.95,ADMITIDO
2017-2,349.00,69.90,ADMITIDO
2017-2,344.00,69.85,ADMITIDO
2017-2,343.00,69.85,ADMITIDO
2017-2,339.00,69.80,ADMITIDO
2017-2,346.00,69.80,ADMITIDO
2017-2,352.00,69.75,ADMITIDO
2017-2,346.00,69.75,ADMITIDO
2017-2,341.00,69.65,ADMITIDO
2017-2,337.00,69.60,ADMITIDO
2017-2,349.00,69.55,ADMITIDO
2017-2,333.00,69.50,ADMITIDO
2017-2,347.00,69.50,ADMITIDO
2017-2,340.00,69.45,ADMITIDO
2017-2,347.00,69.45,ADMITIDO
2017-2,338.00,69.35,ADMITIDO
2017-2,338.00,69.35,ADMITIDO
2017-2,342.00,69.30,ADMITIDO
2017-2,338.00,69.30,INHABILITADO
2017-2,353.00,69.30,ADMITIDO
2017-2,336.00,69.25,ADMITIDO
2017-2,335.00,69.25,ADMITIDO
2017-2,347.00,69.25,ADMITIDO
2017-2,340.00,69.20,ADMITIDO
2017-2,341.00,69.20,ADMITIDO
2017-2,350.00,69.05,ADMITIDO
2017-2,335.00,69.00,ADMITIDO
2017-2,341.00,69.00,ADMITIDO
2017-2,342.00,68.90,ADMITIDO
2017-2,347.00,68.90,ADMITIDO
2017-2,336.00,68.85,ADMITIDO
2017-2,343.00,68.85,ADMITIDO
2017-2,342.00,68.80,ADMITIDO
2017-2,348.00,68.75,ADMITIDO
2017-2,343.00,68.65,ADMITIDO
2017-2,337.00,68.60,ADMITIDO
2017-2,345.00,68.60,ADMITIDO
2017-2,341.00,68.60,ADMITIDO
2017-2,347.00,68.50,ADMITIDO
2017-2,334.00,68.50,ADMITIDO
2017-2,341.00,68.45,ADMITIDO
2017-2,342.00,68.45,ADMITIDO
2017-2,344.00,68.45,ADMITIDO
2017-2,340.00,68.40,ADMITIDO
2017-2,342.00,68.40,ADMITIDO
2017-2,343.00,68.40,ADMITIDO
2017-2,348.00,68.40,ADMITIDO
2017-2,335.00,68.35,ADMITIDO
2017-2,332.00,68.30,ADMITIDO
2017-2,338.00,68.30,ADMITIDO
2017-2,342.00,68.30,ADMITIDO
2017-2,334.00,68.25,ADMITIDO
2017-2,325.00,68.25,ADMITIDO
2017-2,337.00,68.25,ADMITIDO
2017-2,347.00,68.15,ADMITIDO
2017-2,342.00,68.15,ADMITIDO
2017-2,336.00,68.05,ADMITIDO
2017-2,345.00,68.05,ADMITIDO
2017-2,331.00,68.05,ADMITIDO
2017-2,336.00,67.95,ADMITIDO
2017-2,334.00,67.95,ADMITIDO
2017-2,340.00,67.90,ADMITIDO
2017-2,340.00,67.85,ADMITIDO
2017-2,336.00,67.85,ADMITIDO
2017-2,340.00,67.85,ADMITIDO
2017-2,341.00,67.75,ADMITIDO
2017-2,345.00,67.75,ADMITIDO
2017-2,325.00,67.70,OPCIONADO
2017-2,342.00,67.65,OPCIONADO
2017-2,327.00,67.65,OPCIONADO
2017-2,340.00,67.65,OPCIONADO
2017-2,333.00,67.65,OPCIONADO
2017-2,338.00,67.60,OPCIONADO
2017-2,336.00,67.60,OPCIONADO
2017-2,336.00,67.60,OPCIONADO
2017-2,327.00,67.55,OPCIONADO
2017-2,337.00,67.55,OPCIONADO
2017-2,341.00,67.45,OPCIONADO
2017-2,337.00,67.25,OPCIONADO
2017-2,334.00,67.15,OPCIONADO
2017-2,327.00,67.15,OPCIONADO
2017-2,335.00,67.10,OPCIONADO
2017-2,323.00,67.10,OPCIONADO
2017-2,337.00,67.10,OPCIONADO
2017-2,334.00,67.05,OPCIONADO
2017-2,336.00,67.00,OPCIONADO
2017-2,332.00,67.00,OPCIONADO
2017-2,341.00,67.00,OPCIONADO
2017-2,339.00,67.00,OPCIONADO
2017-2,334.00,66.95,OPCIONADO
2017-2,333.00,66.95,OPCIONADO
2017-2,329.00,66.95,OPCIONADO
2017-2,333.00,66.90,OPCIONADO
2017-2,326.00,66.85,OPCIONADO
2017-2,329.00,66.85,OPCIONADO
2017-2,328.00,66.80,OPCIONADO
2017-2,335.00,66.80,OPCIONADO
2017-2,331.00,66.75,OPCIONADO
2017-2,337.00,66.75,OPCIONADO
2017-2,333.00,66.75,OPCIONADO
2017-2,331.00,66.75,OPCIONADO
2017-2,336.00,66.70,OPCIONADO
2017-2,330.00,66.70,OPCIONADO
